channel,temperature,mean,std deviation
0,25.0,24.66,0.0
0,30.0,28.82,0.0
0,35.0,32.89,0.01
1,25.0,24.66,0.0
1,30.0,28.82,0.0
1,35.0,32.89,0.01
channel,real temperature,temperature read
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,25.0,24.65
0,25.0,24.65
0,25.0,24.65
0,25.0,24.65
0,25.0,24.66
0,25.0,24.66
0,25.0,24.66
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.83
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,30.0,28.82
0,35.0,32.89
0,35.0,32.89
0,35.0,32.89
0,35.0,32.89
0,35.0,32.89
0,35.0,32.89
0,35.0,32.88
0,35.0,32.88
0,35.0,32.88
0,35.0,32.88
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
0,35.0,32.9
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,25.0,24.65
1,25.0,24.65
1,25.0,24.65
1,25.0,24.65
1,25.0,24.66
1,25.0,24.66
1,25.0,24.66
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.83
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,30.0,28.82
1,35.0,32.89
1,35.0,32.89
1,35.0,32.89
1,35.0,32.89
1,35.0,32.89
1,35.0,32.89
1,35.0,32.88
1,35.0,32.88
1,35.0,32.88
1,35.0,32.88
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
1,35.0,32.9
0,120,122.42
